Date,Open,High,Low,Close,Adj Close,Volume,Predicted Yield,MSE,RMSE,MAE,MAPE
2023-01-03,3.899,3.959,3.878,3.945,3.945,0.0,3.9164298553255548,0.0003037998566697691,0.017429855325554744,0.017429855325554744,0.44703399142228123
2023-01-04,3.833,3.889,3.819,3.875,3.875,0.0,3.8179646009007375,0.00022606322607410836,0.015035399099262658,0.015035399099262658,0.3922619123209668
2023-01-05,3.898,3.976,3.889,3.91,3.91,0.0,3.917812846382363,0.0003925488817711068,0.019812846382362803,0.019812846382362803,0.5082823597322422
2023-01-06,3.952,3.959,3.707,3.712,3.712,0.0,3.8892145210759836,0.003942016363718097,0.06278547892401631,0.06278547892401631,1.5887013897777407
2023-01-09,3.715,3.72,3.636,3.651,3.651,0.0,3.770024002423766,0.003027640842730611,0.05502400242376604,0.05502400242376604,1.4811306170596512
2023-01-10,3.717,3.758,3.684,3.734,3.734,0.0,3.7086065814113924,7.04494756035844e-05,0.008393418588607648,0.008393418588607648,0.22581163811158592
2023-01-11,3.689,3.712,3.665,3.67,3.67,0.0,3.748435572725837,0.0035325873052482713,0.059435572725837105,0.059435572725837105,1.6111567559185986
2023-01-12,3.627,3.729,3.524,3.546,3.546,0.0,3.6878311908948525,0.0037004337856860066,0.06083119089485267,0.06083119089485267,1.6771764790419819
2023-01-13,3.571,3.616,3.528,3.614,3.614,0.0,3.5442647723834613,0.0007147723957081444,0.026735227616538904,0.026735227616538904,0.7486762144088184
2023-01-16,,,,,,,,,,,
2023-01-17,3.664,3.668,3.576,3.607,3.607,0.0,3.6067159696335986,0.00328146013501881,0.057284030366401506,0.057284030366401506,1.5634287763755867
2023-01-18,3.548,3.55,3.432,3.433,3.433,0.0,3.400203217852739,0.021843888813084994,0.14779678214726122,0.14779678214726122,4.165636475401951
2023-01-19,3.459,3.507,3.435,3.485,3.485,0.0,3.5380543879678443,0.0062495962569704385,0.07905438796784425,0.07905438796784425,2.285469441105645
2023-01-20,3.539,3.593,3.532,3.567,3.567,0.0,3.589916756641373,0.002592516106876809,0.05091675664137307,0.05091675664137307,1.4387328805135087
2023-01-23,3.582,3.632,3.577,3.625,3.625,0.0,3.5817427178261614,6.619411697504816e-08,0.00025728217383846896,0.00025728217383846896,0.0071826402523302345
2023-01-24,3.616,3.66,3.568,3.584,3.584,0.0,3.5151131313633375,0.010178160263311222,0.10088686863666263,0.10088686863666263,2.7900129600846966
2023-01-25,3.556,3.589,3.521,3.561,3.561,0.0,3.578935252579415,0.0005260258108815665,0.02293525257941509,0.02293525257941509,0.6449733571264086
2023-01-26,3.576,3.612,3.552,3.588,3.588,0.0,3.618132873836931,0.001775179057758734,0.04213287383693087,0.04213287383693087,1.1782123556188722
2023-01-27,3.638,3.652,3.614,3.621,3.621,0.0,3.6183209167582353,0.0003872663172363001,0.019679083241764594,0.019679083241764594,0.540931370032012
2023-01-30,3.666,3.69,3.655,3.683,3.683,0.0,3.756419001766726,0.008175595880491222,0.09041900176672613,0.09041900176672613,2.466421215677199
2023-01-31,3.655,3.664,3.602,3.638,3.638,0.0,3.6404938854233313,0.0002104273601114345,0.014506114576668505,0.014506114576668505,0.39688411974469234
2023-02-01,3.586,3.645,3.488,3.495,3.495,0.0,3.588164946943978,4.686995270239475e-06,0.0021649469439779523,0.0021649469439779523,0.06037219587222399
2023-02-02,3.454,3.497,3.413,3.483,3.483,0.0,3.5267918422602405,0.005298652299639701,0.07279184226024027,0.07279184226024027,2.107465033591206
2023-02-03,3.484,3.676,3.478,3.666,3.666,0.0,3.5863895996590935,0.01048363011834945,0.10238959965909356,0.10238959965909356,2.938851884589367
2023-02-06,3.762,3.827,3.762,3.814,3.814,0.0,3.848433845997923,0.007470809733992637,0.08643384599792281,0.08643384599792281,2.297550398668868
2023-02-07,3.806,3.846,3.743,3.844,3.844,0.0,3.6982497355356467,0.01161011949213808,0.10775026446435332,0.10775026446435332,2.831063175626729
2023-02-08,3.82,3.846,3.79,3.818,3.818,0.0,3.8150854877378375,2.4152430774943896e-05,0.004914512262162329,0.004914512262162329,0.12865215345974684
2023-02-09,3.78,3.885,3.767,3.882,3.882,0.0,3.728792071739959,0.002622251916685466,0.051207928260040614,0.051207928260040614,1.3547070968264712
2023-02-10,3.879,3.926,3.87,3.924,3.924,0.0,3.8003346662619535,0.006188234732118239,0.07866533373804652,0.07866533373804652,2.0279797302925116
2023-02-13,3.949,3.955,3.91,3.926,3.926,0.0,3.9844301746329185,0.0012552972745191117,0.03543017463291864,0.03543017463291864,0.8971935840192111
